trial_id,harness_score,human_score
T14_T1_C2_s42_step1,1,1
T14_T1_C2_s512b,1,1
T07_T1_C1_s256b,1,1
T15_T1_C2_s512,1,1
T20_T1_C2_s1024d,1,1
T14_T1_C1_s137,1,1
EDR_T1_C3gen,1,1
malware_T1_C2_extra,1,1
T16_T1_C1_s256_step1,1,1
T04_T1_C2_s512,1,1
T13_T1_C2_s256,1,1
T13_T1_C2_s42_step1,1,1
T19_T1_C2_s1024d,1,1
T19_T1_C4plan_s256g,1,1
T05_T1_C5plan_s137,0,0
T17_T1_C2_s137c,1,1
threatmodel_T1_C1_s137,1,1
T20_T1_C5plan_s137g,1,1
T04_T1_C1_s512,1,1
T11_T1_C2_s1024,1,1
T20_T1_C4plan_s42g,1,1
SOAR_T1_C4plan,0,0
T10_T1_C4plan_s137,1,1
T17_T1_C3gen_s1024_batch,0,0
T15_T1_C1_s256,1,1
T17_T1_C3gen_s42_step1,1,1
T19_T1_C4plan_s42g,1,1
T10_T1_C2_s1024,1,1
T18_T1_C2_s1024d,1,1
T09_T1_C1_s42_step1,1,1
IAM_T1_C2_extra,1,1
T16_T1_C4plan_s42_step2,1,1
T15_T1_C3gen_s137_batch,0,0
T17_T1_C2_s256d,1,1
T13_T1_C2_s512b,1,1
T15_T1_C5plan_s137,0,0
T04_T1_C4plan_s137,1,1
T16_T1_C5plan_s42g,1,1
T05_T1_C4plan_s512,0,0
T16_T1_C5plan_s1024,0,0
T05_T1_C3gen_s1024_batch,0,0
T05_T1_C2_s42,0,0
T13_T1_C4plan_s137,1,1
cloud_T1_C3gen_s256,1,1
T18_T1_C3gen_s512g,1,1
T16_T1_C4plan_s42g,1,1
T07_T1_C3gen_s137_batch,0,0
T13_T1_C1_s256b,1,1
metrics_T1_C2_extra,1,1
T16_T1_C4plan_s256g,1,1
T09_T2_C3gen_s42,0,0
T17_T2_C4plan_allseeds,0,0
T03_T2_C1_s1024,0,0
T20_T2_C3gen_allseeds,0,0
T11_T2_C1_s512c,0,0
T01_T2_C4plan_s512,1,1
T11_T2_C1_s137c,0,0
